job_category;job_title;is_remote;no_degree_needed;has_insurance;schedule_type;job_country;posted_year;posted_month;annual_salary
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;115000
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;117500
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;120000
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;125000
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;132500
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;135000
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;139000
Data Engineer;Remote Data Engineer;0;1;0;Full-time;United States;2023;12;140000
Data Engineer;Data Engineer - Python;0;1;0;Full-time;United States;2023;12;115000
Data Engineer;Data Engineer - Python;0;1;0;Full-time;United States;2023;12;147500
Data Engineer;Data Engineer - Python;0;1;0;Full-time;United States;2023;12;96773
Data Scientist;"Associate Director; Data Science";0;0;0;Full-time;India;2023;12;100000
Data Scientist;"Associate Director; Data Science";0;0;0;Full-time;India;2023;12;115000
Data Scientist;"Associate Director; Data Science";0;0;0;Full-time;India;2023;12;137000
Data Scientist;"Associate Director; Data Science";0;0;0;Full-time;India;2023;12;155000
Data Scientist;"Associate Director; Data Science";0;0;0;Full-time;India;2023;12;195000
Data Scientist;"Associate Director; Data Science";0;0;0;Full-time;India;2023;12;200000
Data Scientist;"Associate Director; Data Science";0;0;0;Full-time;India;2023;12;210360
Data Scientist;"Associate Director; Data Science";0;0;0;Full-time;India;2023;12;64800
Machine Learning Engineer;Lead Machine Learning Engineer;0;0;0;Full-time;United States;2023;12;105000
Machine Learning Engineer;Lead Machine Learning Engineer;0;0;0;Full-time;United States;2023;12;125000
Machine Learning Engineer;Lead Machine Learning Engineer;0;0;0;Full-time;United States;2023;12;181500
Machine Learning Engineer;Lead Machine Learning Engineer;0;0;0;Full-time;United States;2023;12;79200
Machine Learning Engineer;Lead Machine Learning Engineer;0;0;0;Full-time;United States;2023;12;99150
Data Engineer;Data Engineer (Hybrid);1;0;0;Full-time;Sudan;2023;12;107099
Data Engineer;Data Engineer (Hybrid);1;0;0;Full-time;Sudan;2023;12;110000
Data Engineer;Data Engineer (Hybrid);1;0;0;Full-time;Sudan;2023;12;130000
Data Engineer;Data Engineer (Hybrid);1;0;0;Full-time;Sudan;2023;12;135000
Data Engineer;Data Engineer (Hybrid);1;0;0;Full-time;Sudan;2023;12;217500
